Collection Name,Document Count
c2_l8_76_30m,1680519
c2_l8_130_40m,2853556
c2_l8_176_90m,95877
c2_l8_199_60m,391051
c2_l8_154_40m,39540
c2_l8_184_30m,911503
c2_l8_147_100m,3079160
c2_l8_184_250m,911503
c2_l8_34_1m,1697108
c2_l8_197_250m,640249
c2_l8_125_60m,54471
c2_l8_213_1m,741369
c2_l8_90_90m,877724
c2_l8_237_20m,282265
c2_l8_16_15m,745524
c2_l8_204_20m,1965156
c2_l8_107_20m,637704
c2_l8_68_60m,261995
c2_l8_67_1m,49662
c2_l8_14_90m,69735
c2_l8_129_1m,2682329
c2_l8_188_15m,2521789
c2_l8_146_250m,1976380
c2_l8_228_20m,2194189
c2_l8_69_60m,309869
c2_l8_77_1m,2433771
c2_l8_220_40m,10986
c2_l8_179_60m,240759
c2_l8_223_90m,277281
c2_l8_112_20m,62754
c2_l8_226_1m,2340907
c2_l8_70_30m,183688
c2_l8_14_10m,69735
c1_l8_626_60m,16360
c2_l8_107_1m,637704
c2_l8_236_10m,845138
c2_l8_115_125m,130602
c2_l8_99_1m,1493203
c2_l8_206_40m,800000
